product_key,product_id,product_name,category,subcategory,gender,size,color,collection_season,list_price,unit_cost,is_active
1,PRD-0001,Beige Dress,Womenswear,Dresses,Women's,S,Beige,Spring 2023,40.84,16.34,True
2,PRD-0002,Ivory Dress,Womenswear,Dresses,Women's,L,Ivory,Spring 2023,30.74,12.3,True
3,PRD-0003,Camel Top,Womenswear,Tops,Women's,XL,Camel,Spring 2023,79.63,31.85,True
4,PRD-0004,Grey Sweater,Womenswear,Knitwear,Women's,L,Grey,Spring 2025,53.59,21.44,True
5,PRD-0005,Burgundy Dress,Womenswear,Dresses,Women's,M,Burgundy,Spring 2024,42.3,16.92,True
6,PRD-0006,White Pants,Womenswear,Bottoms,Women's,L,White,Spring 2023,61.03,24.41,True
7,PRD-0007,Black Pants,Womenswear,Bottoms,Women's,L,Black,Spring 2025,39.48,15.79,True
8,PRD-0008,Camel Jeans,Womenswear,Denim,Women's,M,Camel,Spring 2025,84.9,33.96,True
9,PRD-0009,White Pants,Womenswear,Bottoms,Women's,XS,White,Spring 2025,48.97,19.59,True
10,PRD-0010,Grey Pants,Womenswear,Bottoms,Women's,XS,Grey,Spring 2024,53.57,21.43,True
11,PRD-0011,Olive Pants,Womenswear,Bottoms,Women's,M,Olive,Spring 2023,89.66,35.86,True
12,PRD-0012,Camel Dress,Womenswear,Dresses,Women's,S,Camel,Spring 2023,70.53,28.21,True
13,PRD-0013,Olive Pants,Womenswear,Bottoms,Women's,XS,Olive,Spring 2023,103.61,41.44,True
14,PRD-0014,Beige Pants,Womenswear,Bottoms,Women's,XS,Beige,Spring 2023,112.01,44.8,True
15,PRD-0015,Grey Sweater,Womenswear,Knitwear,Women's,L,Grey,Spring 2024,109.39,43.76,True
16,PRD-0016,Beige Jeans,Womenswear,Denim,Women's,S,Beige,Spring 2023,96.54,38.62,True
17,PRD-0017,Ivory Sweater,Womenswear,Knitwear,Women's,L,Ivory,Spring 2025,64.74,25.9,True
18,PRD-0018,Camel Top,Womenswear,Tops,Women's,L,Camel,Spring 2023,97.53,39.01,True
19,PRD-0019,Navy Dress,Womenswear,Dresses,Women's,L,Navy,Spring 2025,33.84,13.54,True
20,PRD-0020,Camel Jeans,Womenswear,Denim,Women's,M,Camel,Spring 2025,107.19,42.88,True
21,PRD-0021,Camel Dress,Womenswear,Dresses,Women's,M,Camel,Spring 2025,59.3,23.72,True
22,PRD-0022,Navy Pants,Womenswear,Bottoms,Women's,L,Navy,Spring 2023,115.75,46.3,True
23,PRD-0023,Camel Pants,Womenswear,Bottoms,Women's,XS,Camel,Spring 2025,55.46,22.18,True
24,PRD-0024,Navy Sweater,Womenswear,Knitwear,Women's,M,Navy,Spring 2023,77.62,31.05,True
25,PRD-0025,Ivory Sweater,Womenswear,Knitwear,Women's,M,Ivory,Spring 2024,29.79,11.92,True
26,PRD-0026,Grey Pants,Womenswear,Bottoms,Women's,XS,Grey,Spring 2023,108.78,43.51,True
27,PRD-0027,Denim Blue Dress,Womenswear,Dresses,Women's,XS,Denim Blue,Spring 2025,98.46,39.38,True
28,PRD-0028,Camel Top,Womenswear,Tops,Women's,S,Camel,Spring 2024,76.55,30.62,True
29,PRD-0029,Grey Sweater,Womenswear,Knitwear,Women's,XL,Grey,Spring 2025,91.47,36.59,True
30,PRD-0030,Olive Pants,Womenswear,Bottoms,Women's,L,Olive,Spring 2025,69.54,27.82,True
31,PRD-0031,White Top,Womenswear,Tops,Women's,M,White,Spring 2023,82.12,32.85,True
32,PRD-0032,Black Top,Womenswear,Tops,Women's,XS,Black,Spring 2025,86.06,34.42,True
33,PRD-0033,Black Top,Womenswear,Tops,Women's,M,Black,Spring 2023,75.3,30.12,True
34,PRD-0034,Grey Pants,Womenswear,Bottoms,Women's,XL,Grey,Spring 2023,94.55,37.82,True
35,PRD-0035,Grey Sweater,Womenswear,Knitwear,Women's,L,Grey,Spring 2024,45.52,18.21,True
36,PRD-0036,Olive Dress,Womenswear,Dresses,Women's,L,Olive,Spring 2024,70.97,28.39,True
37,PRD-0037,Black Dress,Womenswear,Dresses,Women's,L,Black,Spring 2025,59.22,23.69,True
38,PRD-0038,Grey Dress,Womenswear,Dresses,Women's,S,Grey,Spring 2025,69.27,27.71,True
39,PRD-0039,Beige Jeans,Womenswear,Denim,Women's,L,Beige,Spring 2023,108.45,43.38,True
40,PRD-0040,Camel Dress,Womenswear,Dresses,Women's,XS,Camel,Spring 2023,88.0,35.2,True
41,PRD-0041,White Sweater,Womenswear,Knitwear,Women's,S,White,Spring 2023,65.39,26.16,True
42,PRD-0042,Burgundy Jeans,Womenswear,Denim,Women's,XS,Burgundy,Spring 2023,62.87,25.15,True
43,PRD-0043,Denim Blue Jeans,Womenswear,Denim,Women's,M,Denim Blue,Spring 2024,92.09,36.84,True
44,PRD-0044,Navy Sweater,Womenswear,Knitwear,Women's,S,Navy,Spring 2024,48.03,19.21,True
45,PRD-0045,Olive Dress,Womenswear,Dresses,Women's,XS,Olive,Spring 2023,81.74,32.7,True
46,PRD-0046,Black Joggers,Menswear,Activewear,Men's,XL,Black,Spring 2023,97.36,38.94,True
47,PRD-0047,Grey Shirt,Menswear,Shirts,Men's,L,Grey,Spring 2023,105.04,42.02,True
48,PRD-0048,Ivory Joggers,Menswear,Activewear,Men's,XL,Ivory,Spring 2023,77.65,31.06,True
49,PRD-0049,Beige Sweater,Menswear,Knitwear,Men's,S,Beige,Spring 2025,85.88,34.35,True
50,PRD-0050,Burgundy Pants,Menswear,Bottoms,Men's,S,Burgundy,Spring 2025,79.87,31.95,True
51,PRD-0051,White Sweater,Menswear,Knitwear,Men's,XS,White,Spring 2024,77.8,31.12,True
52,PRD-0052,White Joggers,Menswear,Activewear,Men's,XL,White,Spring 2023,68.0,27.2,True
53,PRD-0053,White Pants,Menswear,Bottoms,Men's,S,White,Spring 2024,49.22,19.69,True
54,PRD-0054,Ivory Sweater,Menswear,Knitwear,Men's,XL,Ivory,Spring 2023,81.77,32.71,True
55,PRD-0055,White Joggers,Menswear,Activewear,Men's,S,White,Spring 2024,34.81,13.92,True
56,PRD-0056,Beige Shirt,Menswear,Shirts,Men's,M,Beige,Spring 2025,42.9,17.16,True
57,PRD-0057,Beige Jeans,Menswear,Denim,Men's,XL,Beige,Spring 2024,46.35,18.54,True
58,PRD-0058,Burgundy Shirt,Menswear,Shirts,Men's,M,Burgundy,Spring 2023,25.3,10.12,True
59,PRD-0059,Navy Pants,Menswear,Bottoms,Men's,L,Navy,Spring 2025,84.98,33.99,True
60,PRD-0060,White Joggers,Menswear,Activewear,Men's,XS,White,Spring 2025,101.83,40.73,True
61,PRD-0061,Olive Joggers,Menswear,Activewear,Men's,XL,Olive,Spring 2025,37.59,15.04,True
62,PRD-0062,Beige Pants,Menswear,Bottoms,Men's,M,Beige,Spring 2023,101.41,40.56,True
63,PRD-0063,White Pants,Menswear,Bottoms,Men's,M,White,Spring 2025,100.15,40.06,True
64,PRD-0064,Grey Sweater,Menswear,Knitwear,Men's,S,Grey,Spring 2023,99.92,39.97,True
65,PRD-0065,Olive Shirt,Menswear,Shirts,Men's,L,Olive,Spring 2025,98.45,39.38,True
66,PRD-0066,Navy Pants,Menswear,Bottoms,Men's,XS,Navy,Spring 2024,99.13,39.65,True
67,PRD-0067,Grey Sweater,Menswear,Knitwear,Men's,L,Grey,Spring 2024,50.94,20.38,True
68,PRD-0068,Black Pants,Menswear,Bottoms,Men's,S,Black,Spring 2024,52.9,21.16,True
69,PRD-0069,Olive Shirt,Menswear,Shirts,Men's,XL,Olive,Spring 2024,82.76,33.1,True
70,PRD-0070,Black Joggers,Menswear,Activewear,Men's,XS,Black,Spring 2024,40.18,16.07,True
71,PRD-0071,White Jeans,Menswear,Denim,Men's,XL,White,Spring 2024,54.38,21.75,True
72,PRD-0072,Ivory Jeans,Menswear,Denim,Men's,XL,Ivory,Spring 2023,57.74,23.1,True
73,PRD-0073,Beige Joggers,Menswear,Activewear,Men's,XS,Beige,Spring 2025,62.06,24.82,True
74,PRD-0074,Olive Joggers,Menswear,Activewear,Men's,L,Olive,Spring 2023,105.65,42.26,True
75,PRD-0075,White Jeans,Menswear,Denim,Men's,M,White,Spring 2025,51.29,20.52,True
76,PRD-0076,Burgundy Sweater,Menswear,Knitwear,Men's,M,Burgundy,Spring 2025,35.82,14.33,True
77,PRD-0077,Navy Sweater,Menswear,Knitwear,Men's,XL,Navy,Spring 2025,50.58,20.23,True
78,PRD-0078,Beige Joggers,Menswear,Activewear,Men's,M,Beige,Spring 2023,61.54,24.62,True
79,PRD-0079,Denim Blue Joggers,Menswear,Activewear,Men's,L,Denim Blue,Spring 2024,82.43,32.97,True
80,PRD-0080,Navy Joggers,Menswear,Activewear,Men's,XS,Navy,Spring 2024,68.81,27.52,True
81,PRD-0081,Olive Vest,Outerwear,Vests,Unisex,XS,Olive,Holiday 2023,217.83,76.24,True
82,PRD-0082,Navy Jacket,Outerwear,Jackets,Women's,XS,Navy,Holiday 2023,136.52,47.78,True
83,PRD-0083,White Coat,Outerwear,Coats,Unisex,L,White,Holiday 2024,258.37,90.43,True
84,PRD-0084,Burgundy Vest,Outerwear,Vests,Women's,L,Burgundy,Holiday 2024,136.36,47.73,True
85,PRD-0085,Black Vest,Outerwear,Vests,Unisex,XS,Black,Holiday 2024,131.58,46.05,True
86,PRD-0086,Denim Blue Vest,Outerwear,Vests,Unisex,XS,Denim Blue,Holiday 2025,137.35,48.07,True
87,PRD-0087,Navy Jacket,Outerwear,Jackets,Men's,L,Navy,Holiday 2025,190.92,66.82,True
88,PRD-0088,Olive Vest,Outerwear,Vests,Unisex,L,Olive,Holiday 2025,244.85,85.7,True
89,PRD-0089,Camel Vest,Outerwear,Vests,Men's,L,Camel,Holiday 2023,231.29,80.95,True
90,PRD-0090,Beige Coat,Outerwear,Coats,Men's,S,Beige,Holiday 2025,142.69,49.94,True
91,PRD-0091,Grey Vest,Outerwear,Vests,Men's,M,Grey,Holiday 2024,104.72,36.65,True
92,PRD-0092,Beige Coat,Outerwear,Coats,Women's,M,Beige,Holiday 2024,259.68,90.89,True
93,PRD-0093,Navy Jacket,Outerwear,Jackets,Women's,S,Navy,Holiday 2024,221.85,77.65,True
94,PRD-0094,White Vest,Outerwear,Vests,Women's,L,White,Holiday 2024,152.87,53.5,True
95,PRD-0095,Black Coat,Outerwear,Coats,Men's,S,Black,Holiday 2024,164.0,57.4,True
96,PRD-0096,Black Vest,Outerwear,Vests,Unisex,XL,Black,Holiday 2024,180.63,63.22,True
97,PRD-0097,Burgundy Coat,Outerwear,Coats,Men's,L,Burgundy,Holiday 2025,232.03,81.21,True
98,PRD-0098,Grey Vest,Outerwear,Vests,Unisex,L,Grey,Holiday 2023,141.86,49.65,True
99,PRD-0099,Burgundy Coat,Outerwear,Coats,Women's,M,Burgundy,Holiday 2025,219.04,76.66,True
100,PRD-0100,Navy Coat,Outerwear,Coats,Unisex,L,Navy,Holiday 2023,276.34,96.72,True
101,PRD-0101,Burgundy Vest,Outerwear,Vests,Women's,XL,Burgundy,Holiday 2025,215.97,75.59,True
102,PRD-0102,Burgundy Jacket,Outerwear,Jackets,Unisex,S,Burgundy,Holiday 2024,124.53,43.59,True
103,PRD-0103,Olive Coat,Outerwear,Coats,Men's,S,Olive,Holiday 2024,152.1,53.23,True
104,PRD-0104,Burgundy Coat,Outerwear,Coats,Men's,M,Burgundy,Holiday 2023,179.36,62.78,True
105,PRD-0105,Black Vest,Outerwear,Vests,Unisex,M,Black,Holiday 2023,213.53,74.74,True
106,PRD-0106,Black Vest,Outerwear,Vests,Women's,S,Black,Holiday 2023,249.45,87.31,True
107,PRD-0107,Grey Vest,Outerwear,Vests,Women's,S,Grey,Holiday 2024,217.2,76.02,True
108,PRD-0108,Denim Blue Vest,Outerwear,Vests,Women's,M,Denim Blue,Holiday 2024,121.88,42.66,True
109,PRD-0109,White Vest,Outerwear,Vests,Unisex,S,White,Holiday 2024,110.54,38.69,True
110,PRD-0110,Ivory Jacket,Outerwear,Jackets,Men's,L,Ivory,Holiday 2024,268.88,94.11,True
111,PRD-0111,Ivory Sneakers,Footwear,Sneakers,Women's,11,Ivory,Holiday 2025,89.14,40.11,True
112,PRD-0112,Ivory Sandals,Footwear,Sandals,Men's,12,Ivory,Spring 2023,155.55,70.0,True
113,PRD-0113,Olive Sandals,Footwear,Sandals,Women's,10,Olive,Holiday 2023,139.38,62.72,True
114,PRD-0114,Olive Sneakers,Footwear,Sneakers,Unisex,6,Olive,Holiday 2023,158.68,71.41,True
115,PRD-0115,Olive Sneakers,Footwear,Sneakers,Men's,11,Olive,Holiday 2023,144.88,65.2,True
116,PRD-0116,Camel Boots,Footwear,Boots,Women's,11,Camel,Spring 2025,133.91,60.26,True
117,PRD-0117,Denim Blue Sandals,Footwear,Sandals,Men's,9,Denim Blue,Holiday 2025,131.1,58.99,True
118,PRD-0118,White Boots,Footwear,Boots,Women's,8,White,Holiday 2023,89.26,40.17,True
119,PRD-0119,Ivory Boots,Footwear,Boots,Unisex,11,Ivory,Holiday 2023,100.37,45.17,True
120,PRD-0120,Navy Boots,Footwear,Boots,Men's,9,Navy,Spring 2024,102.58,46.16,True
121,PRD-0121,Beige Boots,Footwear,Boots,Men's,10,Beige,Holiday 2025,165.61,74.52,True
122,PRD-0122,Camel Sandals,Footwear,Sandals,Women's,7,Camel,Spring 2023,88.96,40.03,True
123,PRD-0123,Camel Boots,Footwear,Boots,Men's,12,Camel,Spring 2024,142.87,64.29,True
124,PRD-0124,Denim Blue Sandals,Footwear,Sandals,Unisex,9,Denim Blue,Spring 2023,71.17,32.03,True
125,PRD-0125,Grey Sneakers,Footwear,Sneakers,Men's,8,Grey,Holiday 2025,129.79,58.41,True
126,PRD-0126,Camel Boots,Footwear,Boots,Unisex,8,Camel,Holiday 2023,179.6,80.82,True
127,PRD-0127,Olive Sandals,Footwear,Sandals,Men's,11,Olive,Holiday 2023,92.51,41.63,True
128,PRD-0128,White Boots,Footwear,Boots,Women's,11,White,Spring 2024,97.87,44.04,True
129,PRD-0129,Navy Sandals,Footwear,Sandals,Unisex,7,Navy,Spring 2024,148.63,66.88,True
